/usr/bin/python3.6 /home/yigong/Projects/APTProject/Data/TreeBuilder_V1.py
												20383, 2019-12-30 18:26:35.444241539
												20384, 2019-12-30 18:26:35.455427403
												20385, 2019-12-30 18:26:35.455542266
												20386, 2019-12-30 18:26:35.456041237
												20387, 2019-12-30 18:26:35.493107669
												20388, 2019-12-30 18:26:35.500696112
												20389, 2019-12-30 18:26:35.514075895
												20390, 2019-12-30 18:26:35.514258382
												20391, 2019-12-30 18:26:35.519329527
												20392, 2019-12-30 18:26:35.519683875
												20471, 2019-12-30 18:26:48.167234888
												20478, 2019-12-30 18:26:48.734218997
												20479, 2019-12-30 18:26:48.740533196
												20480, 2019-12-30 18:26:48.838861786
												20481, 2019-12-30 18:26:49.277792596
										20408, None
												20419, 2019-12-30 18:26:40.523084018
												20429, 2019-12-30 18:26:42.838764519
										20456, None
												20457, 2019-12-30 18:26:47.915639558
												20458, 2019-12-30 18:26:47.933727635
												20460, 2019-12-30 18:26:47.965332527
												20461, 2019-12-30 18:26:48.001487675
												20462, 2019-12-30 18:26:48.002489351
												20463, 2019-12-30 18:26:48.042201134
												20464, 2019-12-30 18:26:48.042364376
												20465, 2019-12-30 18:26:48.042394079
												20466, 2019-12-30 18:26:48.042845533
												20467, 2019-12-30 18:26:48.062548150
												20468, 2019-12-30 18:26:48.073107249
												20469, 2019-12-30 18:26:48.073553116
												20470, 2019-12-30 18:26:48.074082413
												20472, 2019-12-30 18:26:48.175942700
												20473, 2019-12-30 18:26:48.176018365
												20474, 2019-12-30 18:26:48.189697771
												20475, 2019-12-30 18:26:48.189934761
												20476, 2019-12-30 18:26:48.202239695
												20477, 2019-12-30 18:26:48.208289284
						20234, 2019-12-30 18:26:31.994267394
						20431, 2019-12-30 18:26:46.861198166
								20433, 2019-12-30 18:26:47.032511611
								20434, 2019-12-30 18:26:47.041639996
								20435, 2019-12-30 18:26:47.042483582
								20446, 2019-12-30 18:26:47.333306815
										20447, 2019-12-30 18:26:47.335263145
								20448, 2019-12-30 18:26:47.341210613
						20432, 2019-12-30 18:26:46.900431619
						20489, 2019-12-30 18:27:04.741170262
								20492, 2019-12-30 18:27:04.885686051
								20493, 2019-12-30 18:27:04.886484325
								20494, 2019-12-30 18:27:04.976962376
								20495, 2019-12-30 18:27:04.977096890
								20496, 2019-12-30 18:27:04.977229073
								20497, 2019-12-30 18:27:04.977254217
								20499, 2019-12-30 18:27:05.034487963
										20506, None
												20534, 2019-12-30 18:27:13.659378813
								20500, 2019-12-30 18:27:05.034896298
								20501, 2019-12-30 18:27:05.076323674
								20502, 2019-12-30 18:27:05.256903454
								20503, 2019-12-30 18:27:05.269068227
								20504, 2019-12-30 18:27:05.284349953
								20505, 2019-12-30 18:27:05.377281474
										20509, 2019-12-30 18:27:05.487751373
										20510, 2019-12-30 18:27:05.488644621
										20515, 2019-12-30 18:27:05.528837673
										20517, 2019-12-30 18:27:05.530277537
										20519, 2019-12-30 18:27:05.544264820
										20521, 2019-12-30 18:27:05.547463631
										20525, 2019-12-30 18:27:05.555278370
										20527, 2019-12-30 18:27:05.726428809
										20528, 2019-12-30 18:27:05.980155061
										20532, 2019-12-30 18:27:07.197277475
										20533, 2019-12-30 18:27:07.339459320
								20506, 2019-12-30 18:27:05.403140533
										20507, 2019-12-30 18:27:05.484393089
										20508, 2019-12-30 18:27:05.485121240
										20511, 2019-12-30 18:27:05.489594455
										20512, 2019-12-30 18:27:05.494622236
										20513, 2019-12-30 18:27:05.500668769
										20514, 2019-12-30 18:27:05.520526461
										20520, 2019-12-30 18:27:05.547235982
										20522, 2019-12-30 18:27:05.547568130
										20523, 2019-12-30 18:27:05.547825567
										20524, 2019-12-30 18:27:05.547992297
										20526, 2019-12-30 18:27:05.724684598
								20516, 2019-12-30 18:27:05.530063756
								20518, 2019-12-30 18:27:05.532981847
								20529, 2019-12-30 18:27:06.444976902
								20530, 2019-12-30 18:27:06.445370095
								20531, 2019-12-30 18:27:06.674132417
						20490, 2019-12-30 18:27:04.782595195
						20491, 2019-12-30 18:27:04.789037315
						20544, 2019-12-30 18:27:22.961901156
						20546, 2019-12-30 18:27:22.969206390
						20573, 2019-12-30 18:27:48.383283173
								20574, 2019-12-30 18:27:48.386344925
										20622, None
												20634, 2019-12-30 18:27:49.844735094
												20637, 2019-12-30 18:27:49.864179074
												20638, 2019-12-30 18:27:49.864272388
												20639, 2019-12-30 18:27:49.870058195
												20640, 2019-12-30 18:27:49.914158144
												20641, 2019-12-30 18:27:49.914233766
												20642, 2019-12-30 18:27:49.933564540
												20643, 2019-12-30 18:27:49.938447104
												20646, 2019-12-30 18:27:49.949493758
												20648, 2019-12-30 18:27:49.949855633
												20651, 2019-12-30 18:27:49.977148479
												20652, 2019-12-30 18:27:49.983672359
												20653, 2019-12-30 18:27:49.984051158
												20693, 2019-12-30 18:27:50.752817494
												20704, 2019-12-30 18:27:50.963722294
												20760, 2019-12-30 18:27:52.426048793
												20761, 2019-12-30 18:27:52.426173619
